Bio,Current_Title,Conferences,Affiliation,Education,Name
,,"J. Intell. Inf. Syst.
(1)",,,John J. Mangano
,"Tej AnandNo picture of Tej Anand available - click to provide one
No description available of Tej Anand","KDD
(1),CHI
(1),Advances in Knowledge Discovery and Data Mining
(1),J. Intell. Inf. Syst.
(1),KDD Workshop
(1),IEEE Expert
(1)","Printer-friendly version of this pagePrinter-friendly
Tej AnandNo picture of Tej Anand available - click to provide one
Printer-friendly version of this pagePrinter-friendly
About the author:
No description available of Tej Anand",,T. Anand
"Padhraic Smyth is a Professor at the University of California, Irvine, in the Department of Computer Science with a joint appointment in Statistics, and is also Director of the Center for Machine Learning and Intelligent Systems at UC Irvine.  His research interests include machine learning, data mining, pattern recognition, and applied statistics and he has published over 150 papers on these topics. He was a recipient of best paper awards at the 2002 and 1997 ACM SIGKDD Conferences, received the ACM SIGKDD Innovation Award in 2009, and was named a AAAI Fellow in 2010. He is co-author of Modeling the Internet and the Web: Probabilistic Methods and Algorithms (with Pierre Baldi and Paolo Frasconi in 2003), and co-author of Principles of Data Mining, MIT Press (with David Hand and Heikki Mannila in 2001). ,Padhraic has served in editorial and advisory positions for journals such as the Journal of Machine Learning Research, the Journal of the American Statistical Association, and the IEEE Transactions on Knowledge and Data Engineering. While at UC Irvine he has received research funding from agencies such as NSF, NIH, IARPA, NASA, and DOE, and from companies such as Google, IBM, Yahoo!, Experian, and  Microsoft. In addition to his academic research he is also active in industry consulting, working with companies such as eBay, Yahoo!, Microsoft, Oracle, Nokia, and AT&T, as well as serving as scientific advisor to local startups in Orange County. He also served as an academic advisor to Netflix for the Netflix prize competition from 2006 to 2009.,Padhraic received a first class honors degree in Electronic Engineering from National University of Ireland (Galway) in 1984, and the MSEE and PhD degrees (in 1985 and 1988 respectively) in Electrical Engineering from the California Institute of Technology. From 1988 to 1996 he was a Technical Group Leader at the Jet Propulsion Laboratory, Pasadena, and has been on the faculty at UC Irvine since 1996. ",Professor and Director,"KDD
(23),NIPS
(20),CoRR
(9),UAI
(7),ICML
(6),Machine Learning
(5)","School of Information and Computer Sciences, Center for Machine Learning and Intelligent Systems, University of California, Irvine","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">California Institute of Technology</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Department of Electrical Engineering</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">California Institute of Technology</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Department of Electrical Engineering</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1985</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">National University of Ireland</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Engineering（Electronic）with First-Class Honors</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>",Padhraic Smyth
,uk,"SIGUCCS
(7),J. Intell. Inf. Syst.
(1)",,,John Major
,,"CoRR
(4),Distributed and Parallel Databases
(1),eScience
(1),CIDU
(1),FaVE
(1),ICPR (1)
(1)",,,S. Djorgovski
,President,"SIGKDD Explorations
(10),KDD
(7),AI Magazine
(4),Advances in Knowledge Discovery and Data Mining
(3),ICDM
(2),EGC
(2)",KDnuggets,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> New York University </td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> New York University </td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1979</td></tr>",G. Piatetsky-Shapiro
"Dr. Usama Fayyad is CEO of Open Insights, LLC, a data strategy, technology and consulting firm he founded to help enterprises understand data strategy and deploy data-driven solutions that effectively and dramatically grow revenue and competitive advantages. Up until September 2008, he was Yahoo!`s chief data officer and executive vice president of Research & Strategic Data Solutions. Fayyad was the industry`s first chief data officer, responsible for Yahoo!`s global data strategy, architecting Yahoo!`s data policies and systems, prioritizing data investments, and managing the Company`s data analytics and data processing infrastructure. Fayyad also founded and managed the Yahoo! Research organization with offices around the world. Yahoo! Research is building the premier scientific research organization to develop the new sciences of the Internet, on-line marketing, and innovative interactive applications.,Prior to joining Yahoo!, Fayyad co-founded and led the DMX Group, a data mining and data strategy consulting and technology company that was acquired by Yahoo! in 2004. DMX Group International still operates in the Middle East and is headquartered in Dubai. In early 2000, he co-founded and served as CEO of Revenue Science, Inc.(digiMine, Inc.), a data analysis and data mining company that built, operated and hosted data warehouses and web analytics for some of the world`s largest enterprises in online publishing, retail, manufacturing, telecommunications and financial services. The company today specializes in Behavioral Targeting and advertising networks. Fayyad`s professional experience also includes five years spent leading the data mining and exploration group at Microsoft Research and building the data mining products for Microsoft`s server division. From 1989 to 1996 Fayyad held a leadership role at NASA`s Jet Propulsion Laboratory (JPL), where his work in the analysis and exploration of scientific databases gathered from observatories, remote-sensing platforms and spacecraft garnered him the top research excellence award that Caltech awards to JPL scientists, as well as a U.S. Government medal from NASA.",Founder & CEO,"KDD
(13),SIGKDD Explorations
(7),Data Min. Knowl. Discov.
(6),Commun. ACM
(5),
(5),ICML
(3)",ChoozOn Corporation,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Michigan</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science and Engineering</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Michigan</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Mathematics</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1989</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Michigan</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>",Usama M. Fayyad
,,"Advances in Knowledge Discovery and Data Mining
(1),AI Magazine
(1),J. Intell. Inf. Syst.
(1),CIKM
(1),ICML
(1)",,,Nicholas Weir
,"available - click to provide one
No description available of Gary S. Kahn","IJCAI
(3),International Journal of Man-Machine Studies
(2),IEEE Expert
(1),IAAI
(1),AAAI
(1),IEEE Trans. Pattern Anal. Mach. Intell.
(1)","available - click to provide one
About the author:
No description available of Gary S. Kahn",,Gary S. Kahn
,"Department of Computer Science 
University of Regina

","Rough Sets and Current Trends in Computing
(6),T. Rough Sets
(5),ISMIS
(5),RSKD
(5),RSCTC
(4),RSFDGrC
(4)","Department of Computer Science 
University of Regina
Regina, Saskatchewan
S4S 0A2 Canada 
",,Wojciech Ziarko
,Music Director: Vishal Bharadwaj,"ML
(2),CoRR
(1),IEEE Trans. on CAD of Integrated Circuits and Systems
(1),Microelectronics Reliability
(1),ISQED
(1),DATE
(1)",,,Sharad Saxena
,,"MUC
(8),Inf. Process. Manage.
(3),Commun. ACM
(2),SIGIR
(2),ECAI
(2),IEEE Trans. Knowl. Data Eng.
(1)",,,L. F. Rau
,,"IBM Systems Journal
(1),IBM Journal of Research and Development
(1)",,,W. P. Alexander
"Jean-Gabriel Ganascia is presently Professor of computer science at Paris VI University. He leads in the LIP6 laboratory (Laboratoire d'Informatique de Paris VI) the ACASA team. ,Initially focused on Knowledge Acquisition and Machine Learning, the scientific orientations of the ACASA team evolved to Cognitive Modeling and the design of Intelligent Agents. Thus was recently undertaken research on the literary analysis (genetic criticism, stylistic analysis), on modeling social representations (rebuilding of social stereotypes from newspapers), on Scientific Discovery (modeling theories in physical sciences and medicine), on musicology and music (detection of recurrent patterns, simulation of improvisations), on didactic, on multi-media, on intelligent TV and on the improvement of electronic reading facilities.,In a word, our scientific aim is to show that Artificial Intelligence is not only part of the sciences of nature that investigates the natural phenomenon; it is also a science of culture, which influences the production of knowledge today. ,Jean-Gabriel Ganascia published more than 350 papers in conferences proceedings, journals and books. In addition he has published many books and papers about philosophical issues and social consequences of the development information technologies (e.g. ""L’âme machine"" ed. du Seuil, ""2001, l’Odyssée de l’esprit"" ed. Flammarion, ""Gédéon"" and ""Les Sciences cognitives"" ed. Le Pommier, ""Idées reçues sur l’intelligence artificielle"" ed. du Cavalier Bleu, etc.). ,For a few years now, he worked on the ethics and political philosophy of the information society. His last book ""Voir et pouvoir: qui nous surveille?"" is issued from this work. It explores the ethical and political structure of our contemporaneous society. It relies on the notion of Catopticon, which extends the Bentham's Panopticon to a generalized ""sousveillance"" where everybody can watch everybody. ",full professor,"ICCS
(6),ICML
(4),Discovery Science
(3),EGC
(3),IJCAI
(3),ECAI
(3)",University Pierre et Marie Curie,,Jean-Gabriel Ganascia
"Dr. Bonissone is a Coolidge Fellow and a Chief Scientist at GE Global Research. He has published over 150 articles in the area of soft computing, computational intelligence, expert systems, approximate reasoning, fuzzy sets, pattern recognition, decision analysis, and prognostics and health management (PHM). He is a Fellow of AAAI, IEEE, and IFSA. He was President of the IEEE Neural Networks Society (now IEEE Computational Intelligence Society). He received 53 patents from the U.S. Patent Office (and 50 more are pending).",Chief Scientist ,"Int. J. Approx. Reasoning
(6),UAI
(6),IEEE Comp. Int. Mag.
(5),Soft Comput.
(4),FUZZ-IEEE
(3),IJCNN
(3)",GE Global Research,,P. P. Bonissone
,,"Discovery Science
(5),AAMAS
(4),IAT
(4),AIIDE
(3),SBIA
(3),IVA
(2)",,,Vincent Corruble
,,"RSKD
(1)",,,Robert Golan
,,"RSKD
(1)",,,Donald Edwards
,"Ljupco Todorovski
Department of Knowledge Technologies
Jozef Stefan Institute","ICML
(5),ECML
(5),Discovery Science
(4),PKDD
(4),AAAI
(3),EGOV
(3)","Jamova 39
SI-1000 Ljubljana
Slovenia",,Ljupco Todorovski
"I attended UCSD as an undergraduate, UCLA for a MA in Psychology, and Stanford University for a PhD in Computer Science and Psychology. In 1983, I became an assistant professor in Computer Science at the University of Massachusetts. In 2003 I moved to USC's Information Sciences Institute where I served as Deputy Director of the Intelligent Systems Division and Director of the Center for Research on Unexpected Events. In 2008, I joined the University of Arizona as head of Computer Science.,I am married to Prof. Carole Beal. ","Director,Professor and Head","IDA
(12),AAAI/IAAI
(7),Agents
(7),Winter Simulation Conference
(6),IJCAI
(5),AIPS
(4)","School of Information: Science, Technology and Arts
Department of Computer Science
University of Arizona","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Stanford University </td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science and Psychology</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1983</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">UCLA</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Psychology </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">UC San Diego</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Psychology </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",Paul R. Cohen
,Professor,"ECDL
(7),ICDAR
(6),CIKM
(4),IRI
(4),IEICE Transactions
(4),JCDL
(4)","National Institute of Informatics, Japan","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> University of Tokyo </td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Engineering</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1989</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Tokyo </td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Engineering</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1986</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> University of Tokyo </td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>",Atsuhiro Takasu
"Tatsuya Akutsu was born in February 23, 1962. He received B.Eng. and M.Eng. in Aeronautics and D.Eng. in Information Engineering from University of Tokyo, 1984, 1986 and 1989, respectively.",Professor,"IEICE Transactions
(11),Bioinformatics
(10),BMC Bioinformatics
(10),ISAAC
(8),APBC
(8),Inf. Process. Lett.
(7)","Bioinformatics Center
 Institute for Chemical Research
 Kyoto University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Tokyo</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""> Information Engineering </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1989</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Tokyo</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Aeronautics </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1986</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Tokyo</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Aeronautics </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>",Tatsuya Akutsu
,Scientific Councillor,"ECML
(11),ICML
(10),ILP
(10),Machine Learning
(9),Discovery Science
(8),KDID
(8)","Jozef Stefan Institute, Department of Knowledge Technologies","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Ljubljana, Slovenia</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1995</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Ljubljana, Slovenia</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Ljubljana, Slovenia</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1989</td></tr>",Saso Dzeroski
,Clare Boothe Luce Assistant Professor of Computer Science,"SIGIR
(3),TREC
(3),CLEF
(1),CIKM
(1),DEXA
(1),AAAI
(1)","Clare Boothe Luce Assistant Professor of Computer Science
Mt. Holyoke College",,Lisa Ballesteros
,Generalist Scholars Program,"ICALT
(2),ACM Trans. Inf. Syst. Secur.
(1),ACSAC
(1),HCC
(1),CSCL
(1),ICTAI
(1)","Generalist Scholars Program

PO Box 800728

Charlottesville, VA 22908",,Adam Carlson
,,"ICML
(1)",,,Adam St. Amant
,,,,,J.C. Schlimmer
,Professor of Artificial Intelligence,"ILP
(13),Machine Learning
(10),ICML
(10),ECML
(6),CoRR
(3),AI Commun.
(3)","Department of Computer Science 
University of Bristol 
",,Peter Flach
,,"PKDD
(2),Microprocessing and Microprogramming
(2),DB&Local Proceedings
(1),EJC
(1),ITI
(1),ICEIS (1)
(1)",,,Iztok Savnik
"I am currently the Vice President of Yahoo! Labs and Research Operations, and also the Head of Academic Relations at Yahoo!, Inc.  My office is in New York City; the majority of our Yahoo! Research team is in Santa Clara, California, where I also have an office.,Prior to joining Yahoo! in 2005, I was the Director of the Information Processing Technology Office (IPTO) at DARPA, the Defense Advanced Research Projects Agency.  In that capacity I led a new revitalized (and re-named) IPTO and DARPA towards a new generation of computational systems with cognitive capabilities, building on artificial intelligence and systems work from many parts of Computer Science.,In February of 2002, I retired from AT&T Labs, after more than 16 years with AT&T Labs and Bell Labs.",Vice President,"AI Magazine
(6),AAAI
(6),IJCAI
(4),Description Logics
(3),Description Logic Handbook
(2),Artif. Intell.
(2)",Yahoo! Labs and Research Operations,,R. J. Brachman
,Associate Professor,"IUI
(14),Intelligence
(5),CHI Extended Abstracts
(3),AAAI
(2),CHI
(2),Agents
(2)",919-515-7938,,Robert St. Amant
,,"RuleML
(5),International Semantic Web Conference
(2),AI Magazine
(2),KDD Workshop
(2),ML
(2),AMT
(1)",,,C. J. Matheus
,,"IEEE Expert
(5),Autom. Softw. Eng.
(4),Commun. ACM
(2),Intelligence
(2),KBSE
(2),ICSE
(2)",,,P. G. Selfridge
"ACM Distinguished Scientist (2009 - ),ACM SIGCHI Vice President for Membership and Communications (2009 - 2012),Co-chair, 2002 Conference on Human Factors in Computing Systems (CHI 2002),I currently carry out research in two major areas:,Theory-based design of online communities: applying theories from the social sciences to create new interaction techniques and algorithms that elicit more positive participation from community members.,Geographically-based online communities: creating novel open content systems to support geographically-based communities of interest; Cyclopath is our routing and wiki-map system for bicyclists.",Associate Professor,"CHI
(14),CSCW
(11),CHI Extended Abstracts
(6),Int. Sym. Wikis
(6),GROUP
(5),ACM Trans. Comput.-Hum. Interact.
(4)","Department of Computer Science and Engineering,
University of Minnesota","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of South Dakota</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1984</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Texas</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Texas</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>",Loren G. Terveen
,,"Int. J. Cooperative Inf. Syst.
(1)",,,Boris Altman
,,"Int. J. Cooperative Inf. Syst.
(1)",,,Fern Halper
,,"SIGART Bulletin
(1),IJCAI
(1),Int. J. Cooperative Inf. Syst.
(1),FGCS
(1),SIGMOD Conference
(1)",,,Lori Alperin Resnick
,,,,,A. Borgida
,/2.0.52,"ACM Southeast Regional Conference
(1),Intelligence
(1),J. Intell. Inf. Syst.
(1),Int. J. Cooperative Inf. Syst.
(1)",,,Kirk Thomas
,,"Int. J. Cooperative Inf. Syst.
(1)",,,Alan Lazar
,acting director and senior research scientist,"Description Logics
(15),IPAW
(10),AI Magazine
(8),IEEE Intelligent Systems
(7),International Semantic Web Conference (Posters & Demos)
(6),OWLED
(5)","Knowledge Systems
 (KSL) Artificial Intelligence Laboratory 
 Stanford University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Rutgers University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> University of California </td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electrical Engineering and Computer Science </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Duke University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science and Mathematics </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",D. L. McGuinness
,,"KDD
(4),PKDD
(3),ISMIS
(3),Advances in Knowledge Discovery and Data Mining
(2),KDD Workshop
(2),Intell. Data Anal.
(1)",,,Willi Klosgen
,Professor,"RAID
(12),KDD
(10),IEEE Security & Privacy
(6),DG.O
(5),ACSAC
(4),Journal of Computer Security
(3)","Department of Computer Science 
Columbia University 
",,Salvatore J. Stolfo
,,"TMRA
(4),Artificial Intelligence in Medicine
(1)",,,Jack Park
,Professor,"SSDBM
(6),J. Intell. Inf. Syst.
(6),IEEE Data Eng. Bull.
(6),CIA
(4),
(4),Wissensmanagement (LNCS Volume)
(3)","Information and Software Engineering 
Volgenau School of Information Technology and Engineering at George Mason University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Case Western Reserve University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""> Engineering </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Wisconsin-Madison</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electrical Engineering </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Case Institute of Technology</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""> Engineering Science </td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",L. Kerschberg
